"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BPCL","EQ","30-Mar-2021","        424.20","        428.90","        433.90","        421.50","        432.00","        430.80","        427.62","    8576904","          3667634013.20","      72931","    4517636","         52.67"
"BPCL","EQ","31-Mar-2021","        430.80","        430.50","        431.15","        425.50","        427.85","        427.95","        428.25","    5009335","          2145272355.95","      97299","    2199418","         43.91"
"BPCL","EQ","01-Apr-2021","        427.95","        430.60","        439.95","        428.05","        438.00","        437.40","        433.12","    4578197","          1982924996.20","      55099","    1674709","         36.58"
"BPCL","EQ","05-Apr-2021","        437.40","        434.10","        437.00","        421.10","        427.70","        428.05","        427.16","    5755221","          2458419397.30","      68867","    1870472","         32.50"
"BPCL","EQ","06-Apr-2021","        428.05","        430.00","        433.70","        424.30","        428.30","        428.10","        429.65","    4595437","          1974410104.30","      54434","    1342824","         29.22"
"BPCL","EQ","07-Apr-2021","        428.10","        429.00","        431.50","        427.50","        428.25","        428.20","        429.37","    3715472","          1595310081.65","      43893","    1475764","         39.72"
"BPCL","EQ","08-Apr-2021","        428.20","        429.55","        436.00","        429.30","        430.50","        430.55","        433.00","    3354117","          1452330200.85","      35376","    1326362","         39.54"
"BPCL","EQ","09-Apr-2021","        430.55","        430.00","        432.25","        424.50","        425.95","        425.60","        427.78","    4089592","          1749426619.20","      46270","    1551684","         37.94"
"BPCL","EQ","12-Apr-2021","        425.60","        417.95","        419.40","        402.00","        404.80","        403.95","        408.90","    6184047","          2528651022.35","      93097","    2360637","         38.17"
"BPCL","EQ","13-Apr-2021","        403.95","        405.00","        412.50","        402.20","        409.40","        409.40","        408.82","    4032156","          1648440536.70","      48655","    1210486","         30.02"
"BPCL","EQ","15-Apr-2021","        409.40","        409.00","        416.40","        403.30","        404.10","        404.85","        406.20","    7220179","          2932843573.70","      81822","    4005454","         55.48"
"BPCL","EQ","16-Apr-2021","        404.85","        405.00","        422.95","        404.30","        413.60","        413.80","        416.08","   11146313","          4637807210.75","     111117","    3232354","         29.00"
"BPCL","EQ","19-Apr-2021","        413.80","        405.00","        412.40","        400.00","        410.95","        408.75","        404.68","    5628231","          2277648807.20","      67115","    1798679","         31.96"
"BPCL","EQ","20-Apr-2021","        408.75","        411.90","        414.45","        406.10","        407.50","        408.10","        410.92","    3513444","          1443758623.35","      46736","    1299371","         36.98"
"BPCL","EQ","22-Apr-2021","        408.10","        405.00","        421.30","        403.50","        417.45","        418.35","        415.99","    7805674","          3247104577.20","      77426","    2576905","         33.01"
"BPCL","EQ","23-Apr-2021","        418.35","        417.30","        424.95","        416.00","        423.20","        423.05","        422.14","   23840266","         10063956125.25","     121163","   13723192","         57.56"
"BPCL","EQ","26-Apr-2021","        423.05","        426.00","        428.35","        417.55","        417.60","        418.90","        421.33","    6444098","          2715059778.85","      68579","    2408600","         37.38"
"BPCL","EQ","27-Apr-2021","        418.90","        417.50","        423.10","        416.55","        420.00","        420.35","        420.45","    5408165","          2273853197.15","      45282","    2300523","         42.54"
"BPCL","EQ","28-Apr-2021","        420.35","        422.00","        424.35","        414.90","        417.15","        417.50","        419.33","    9902533","          4152458748.95","      59529","    5176820","         52.28"
"BPCL","EQ","29-Apr-2021","        417.50","        422.00","        423.00","        417.00","        419.00","        419.55","        420.00","    6632804","          2785774931.05","      64676","    2976829","         44.88"
"BPCL","EQ","30-Apr-2021","        419.55","        417.50","        437.50","        414.65","        422.10","        421.80","        428.14","   16851470","          7214724147.05","     195429","    6453804","         38.30"
"BPCL","EQ","03-May-2021","        421.80","        419.00","        429.05","        415.40","        416.15","        416.00","        420.06","    8059391","          3385431798.90","     108314","    2363880","         29.33"
"BPCL","EQ","04-May-2021","        416.00","        420.90","        429.45","        418.50","        422.55","        421.45","        424.14","    9993939","          4238857912.50","     126972","    3835206","         38.38"
"BPCL","EQ","05-May-2021","        421.45","        422.05","        431.60","        421.00","        424.80","        424.80","        425.42","    6889331","          2930892753.95","      80719","    2496981","         36.24"
"BPCL","EQ","06-May-2021","        424.80","        428.00","        435.00","        424.15","        434.10","        434.00","        431.09","    6393644","          2756260464.75","      79756","    2297974","         35.94"
"BPCL","EQ","07-May-2021","        434.00","        435.05","        447.00","        428.00","        439.65","        443.15","        437.37","   12027364","          5260421899.35","     129087","    3676121","         30.56"
"BPCL","EQ","10-May-2021","        443.15","        449.00","        455.00","        445.00","        453.50","        453.70","        451.19","    9702910","          4377808657.95","     118031","    4679902","         48.23"
"BPCL","EQ","11-May-2021","        453.70","        449.60","        464.00","        446.90","        462.45","        462.25","        459.93","   10847939","          4989275967.95","     138818","    4325628","         39.88"
"BPCL","EQ","12-May-2021","        462.25","        464.00","        468.00","        446.50","        448.00","        449.25","        457.04","    7617797","          3481659086.20","      95357","    2348539","         30.83"
"BPCL","EQ","14-May-2021","        449.25","        453.50","        453.50","        439.10","        442.20","        442.25","        445.04","    4899715","          2180578383.65","      62783","    1525784","         31.14"
"BPCL","EQ","17-May-2021","        442.25","        445.00","        446.55","        438.10","        442.65","        443.65","        442.19","    3031731","          1340612147.20","      43498","    1130293","         37.28"
"BPCL","EQ","18-May-2021","        443.65","        447.20","        452.40","        442.70","        449.00","        448.45","        448.34","    4967123","          2226966080.75","      67140","    1392770","         28.04"
"BPCL","EQ","19-May-2021","        448.45","        450.00","        454.30","        442.25","        445.90","        446.45","        448.18","    8107607","          3633664491.00","      83242","    1953749","         24.10"
"BPCL","EQ","20-May-2021","        446.45","        448.00","        457.85","        441.50","        455.80","        454.80","        451.58","    9399907","          4244793683.80","      93461","    2721428","         28.95"
"BPCL","EQ","21-May-2021","        454.80","        463.00","        468.00","        459.05","        461.20","        461.05","        462.85","   11993869","          5551354670.55","     117767","    3683208","         30.71"
"BPCL","EQ","24-May-2021","        461.05","        466.95","        474.55","        460.60","        473.80","        472.85","        469.20","   11470610","          5381970715.40","     118609","    3544977","         30.90"
"BPCL","EQ","25-May-2021","        472.85","        476.80","        479.00","        469.00","        473.65","        474.40","        474.19","   10599676","          5026212965.90","     105275","    3557201","         33.56"
"BPCL","EQ","26-May-2021","        474.40","        478.65","        480.70","        468.50","        470.25","        472.20","        475.63","   12972307","          6169986742.30","     130092","    3968973","         30.60"
"BPCL","EQ","27-May-2021","        472.20","        485.00","        488.00","        466.00","        469.90","        467.85","        476.15","   51494404","         24519301029.55","     479516","   19686343","         38.23"
"BPCL","EQ","28-May-2021","        467.85","        475.00","        479.90","        468.50","        472.40","        471.50","        473.87","   14656852","          6945379299.25","     231072","    4477198","         30.55"
"BPCL","EQ","31-May-2021","        471.50","        473.45","        473.45","        468.30","        472.25","        472.00","        470.66","    6747781","          3175915336.90","      79853","    3171920","         47.01"
