Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFC,EQ,23-Mar-21,2531.85,2531,2541.35,2492.1,2512.3,2509.9,2512.86,3980896,10003415249,170520,2450626,61.56
HDFC,W3,23-Mar-21,775,783.25,788,750,774,765.3,761.93,123600,94174710,181,84000,67.96
HDFC,EQ,24-Mar-21,2509.9,2484.85,2503.5,2446.7,2465,2465.75,2470.25,3165420,7819375117,146395,1600981,50.58
HDFC,W3,24-Mar-21,765.3,760,771.7,737,756.4,745.6,746.96,42600,31820580,68,34200,80.28
HDFC,EQ,25-Mar-21,2465.75,2488,2491.6,2431.1,2478,2470.75,2456.22,4759214,11689682430,196107,2734430,57.46
HDFC,W3,25-Mar-21,745.6,735.1,790,729.75,789,784,755.22,40800,30812910,67,30000,73.53
HDFC,EQ,26-Mar-21,2470.75,2506.75,2548,2491.2,2529,2532.75,2524.28,3272534,8260785946,144477,1739269,53.15
HDFC,W3,26-Mar-21,784,794,795,769,771.1,781.55,778.4,62400,48572460,90,49800,79.81
HDFC,EQ,30-Mar-21,2532.75,2569.3,2617,2555.25,2609.95,2605.65,2592.39,4349089,11274543313,150693,2737671,62.95
HDFC,W3,30-Mar-21,781.55,807.3,807.3,780,785,789.4,790.51,122400,96758520,190,114600,93.63
HDFC,EQ,31-Mar-21,2605.65,2599.6,2599.6,2490,2504.05,2498.1,2514.9,5492619,13813380402,236093,3336573,60.75
HDFC,W3,31-Mar-21,789.4,774.9,774.9,730,740,744,744.89,156000,116203560,206,132000,84.62
HDFC,EQ,1-Apr-21,2498.1,2524,2536.95,2480,2530,2531.45,2513.49,2621437,6588954277,103602,1145037,43.68
HDFC,W3,1-Apr-21,744,759.9,770,738.5,770,770,750.78,30600,22973910,43,18600,60.78
HDFC,EQ,5-Apr-21,2531.45,2530,2531,2413,2448,2445.85,2448.25,3353567,8210377357,211024,1668964,49.77
HDFC,W3,5-Apr-21,770,746,754.9,722.1,737,740.2,743.4,33600,24978210,55,23400,69.64
HDFC,EQ,6-Apr-21,2445.85,2470.3,2486.85,2435.35,2478.15,2472.3,2468.06,2882606,7114455771,128916,1619826,56.19
HDFC,W3,6-Apr-21,740.2,736,769,736,755,754.05,753.59,48000,36172080,51,37800,78.75
HDFC,EQ,7-Apr-21,2472.3,2489,2507.8,2457,2478.8,2482.7,2485.1,3511527,8726504187,134963,2078408,59.19
HDFC,W3,7-Apr-21,754.05,755.05,788.9,755.05,770,771.2,770.77,26400,20348370,37,16800,63.64
HDFC,EQ,8-Apr-21,2482.7,2495,2530.9,2485.75,2502.45,2502.55,2514.01,2510746,6312048417,101341,1424452,56.73
HDFC,W3,8-Apr-21,771.2,775,791.95,761,761,761.25,776.68,10800,8388180,18,6600,61.11
HDFC,EQ,9-Apr-21,2502.55,2522,2556,2492.3,2515.7,2513.9,2517.57,3234017,8141860941,97618,1998441,61.79
HDFC,W3,9-Apr-21,761.25,760,784.9,753,756.1,760.55,768.92,14400,11072400,24,4200,29.17
HDFC,EQ,12-Apr-21,2513.9,2450,2454.45,2405,2426,2419.85,2425.22,3772771,9149810744,216533,2422529,64.21
HDFC,W3,12-Apr-21,760.55,721.05,735,693,703,701.55,713,53400,38074050,87,34800,65.17
HDFC,EQ,13-Apr-21,2419.85,2422.4,2523.1,2412.25,2522,2512.95,2468.59,3832030,9459725070,196531,2452351,64
HDFC,W3,13-Apr-21,701.55,725,765,725,764,764.05,746.6,24600,18366270,41,18600,75.61
HDFC,EQ,15-Apr-21,2512.95,2540,2555,2493,2543.95,2547.15,2527.23,4201633,10618500100,147895,2455847,58.45
