Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,23-Mar-21,1370.8,1372.45,1383.25,1359.6,1369.8,1371.55,1372.44,7165335,9833991116,164495,4362930,60.89
INFY,EQ,24-Mar-21,1371.55,1357.85,1370.45,1346.25,1355,1353.75,1357.63,6134303,8328138652,143327,3197000,52.12
INFY,EQ,25-Mar-21,1353.75,1346.75,1352.5,1327.6,1337.6,1333.8,1338.88,8749994,11715231221,184200,5246781,59.96
INFY,EQ,26-Mar-21,1333.8,1344.7,1356.7,1332,1338.7,1336.2,1340.61,4922071,6598564525,138471,2501215,50.82
INFY,EQ,30-Mar-21,1336.2,1346.9,1400,1336.15,1386.5,1385.3,1373.99,10546919,14491356278,227944,5618355,53.27
INFY,EQ,31-Mar-21,1385.3,1382,1388,1363.3,1367.3,1368.05,1370.72,8220987,11268677504,218153,4107507,49.96
INFY,EQ,1-Apr-21,1368.05,1380,1391.6,1371,1386,1385.2,1382.72,5675155,7847148795,146481,3176842,55.98
INFY,EQ,5-Apr-21,1385.2,1391,1425,1387,1415,1409.9,1406.84,9479572,13336273565,237018,3462914,36.53
INFY,EQ,6-Apr-21,1409.9,1423,1426,1406.45,1414,1411.05,1415.69,5793571,8201898840,153955,2555430,44.11
INFY,EQ,7-Apr-21,1411.05,1410.25,1434.95,1406.6,1430,1430.2,1422.23,5879234,8361600368,135633,2734437,46.51
INFY,EQ,8-Apr-21,1430.2,1430,1451.7,1421,1438.15,1439.85,1440.96,5654434,8147788509,179859,2480903,43.88
INFY,EQ,9-Apr-21,1439.85,1455,1455,1430.05,1441,1441.05,1441.23,6052712,8723370112,134860,2125177,35.11
INFY,EQ,12-Apr-21,1441.05,1474,1477.55,1415,1431.5,1425.75,1438.59,20384532,29325012715,477964,8931478,43.81
INFY,EQ,13-Apr-21,1425.75,1433,1435.25,1375,1402.85,1397.15,1394.92,14855206,20721814130,453578,6428451,43.27
INFY,EQ,15-Apr-21,1397.15,1332.3,1366.4,1320,1363.3,1360.75,1347.38,25342491,34145935656,678751,10516044,41.5
INFY,EQ,16-Apr-21,1360.75,1365,1370.85,1346.6,1348.1,1353.75,1358.97,10879878,14785392742,285474,5019567,46.14
INFY,EQ,19-Apr-21,1353.75,1340,1379.7,1332.35,1363,1362.55,1359.57,12508028,17005547107,260647,5617272,44.91
INFY,EQ,20-Apr-21,1362.55,1379,1379,1342.4,1349,1351.35,1357.18,8560766,11618460456,174560,4377456,51.13
