Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAMOTORS,EQ,23-Mar-21,303.05,305,312.25,304,306.9,307.4,308.61,60240483,18590765504,349957,6705709,11.13
TATAMOTORS,EQ,24-Mar-21,307.4,303.55,305,293.2,294.75,294.45,299.54,61523819,18429097083,394777,9946893,16.17
TATAMOTORS,EQ,25-Mar-21,294.45,294,294,282.25,286,285.55,287.04,84528317,24262713319,511962,8894303,10.52
TATAMOTORS,EQ,26-Mar-21,285.55,290.5,301.4,290.5,296.75,296.4,296.4,80924011,23985534796,434783,7121742,8.8
TATAMOTORS,EQ,30-Mar-21,296.4,300.5,301.3,292.7,297.05,297.05,296.64,45257627,13425325715,267495,5114972,11.3
TATAMOTORS,EQ,31-Mar-21,297.05,299,307.5,297.5,301.45,301.8,303.68,58569012,17786399694,325482,7088954,12.1
TATAMOTORS,EQ,1-Apr-21,301.8,306.75,309.85,303.05,307.25,307.75,306.29,44088352,13503816550,268091,4813315,10.92
TATAMOTORS,EQ,5-Apr-21,307.75,306.8,311.7,297.2,305.5,305.05,304.12,66178755,20126169224,346981,5081702,7.68
TATAMOTORS,EQ,6-Apr-21,305.05,306.15,313.8,304.8,308,307.75,309.29,63031783,19495030380,313806,7675387,12.18
TATAMOTORS,EQ,7-Apr-21,307.75,306.75,310.65,305.1,307.65,307.8,308.53,39073986,12055353692,194930,4952057,12.67
TATAMOTORS,EQ,8-Apr-21,307.8,307.9,319.8,307.5,314,313.95,315.34,62459774,19696335827,329382,9456962,15.14
TATAMOTORS,EQ,9-Apr-21,313.95,313.2,325,312.5,317.55,318.2,320.77,75462572,24205900606,412742,8649296,11.46
TATAMOTORS,EQ,12-Apr-21,318.2,307.85,307.85,282.9,287.5,286.55,292.83,105342538,30847255982,687082,20366565,19.33
TATAMOTORS,EQ,13-Apr-21,286.55,287.25,304.55,280.55,302,302.85,293.11,116874853,34256650888,571436,8020613,6.86
TATAMOTORS,EQ,15-Apr-21,302.85,303,307.55,296.5,302.2,303.5,301.87,75262749,22719453457,397148,7009105,9.31
TATAMOTORS,EQ,16-Apr-21,303.5,302,315,300.15,308.75,310,310.71,75330709,23406077563,408104,8967594,11.9
TATAMOTORS,EQ,19-Apr-21,310,295,304.5,292.8,301.7,301.4,299.92,65791784,19732092261,368946,6807491,10.35
TATAMOTORS,EQ,20-Apr-21,301.4,307.7,308.15,294.2,297.4,298.05,301.99,56740291,17134933992,293573,6928884,12.21
TATAMOTORS,EQ,22-Apr-21,298.05,294,302.5,292.2,294.5,294.55,296.94,61022978,18120454264,324395,6645492,10.89
TATAMOTORS,EQ,23-Apr-21,294.55,291,300,290.5,293.2,294,295.04,58158986,17159078150,301111,5596892,9.62
TATAMOTORS,EQ,26-Apr-21,294,297,299,294.6,295.85,295.4,296.48,30583139,9067386455,173282,3291167,10.76
TATAMOTORS,EQ,27-Apr-21,295.4,295.7,302.5,295.1,302.1,301.5,299.05,35040532,10478793142,191627,5215100,14.88
TATAMOTORS,EQ,28-Apr-21,301.5,303.5,309.5,303,305.15,305.9,307.22,44668126,13722777839,264159,5116568,11.45
TATAMOTORS,EQ,29-Apr-21,305.9,308.9,310,301.25,302.2,301.9,304.77,36647292,11168997900,186996,4193346,11.44
TATAMOTORS,EQ,30-Apr-21,301.9,298.2,301.3,292.55,293.1,293.85,297.01,36121668,10728487263,227806,7898988,21.87
TATAMOTORS,EQ,3-May-21,293.85,289.3,294.75,285,293.1,293,290.96,35376618,10293317764,217697,3726649,10.53
TATAMOTORS,EQ,4-May-21,293,296.35,299.75,288.05,289.95,289.45,293.92,38640006,11356882614,215522,5558961,14.39
TATAMOTORS,EQ,5-May-21,289.45,293.5,293.9,288.5,292.25,291.5,291.05,29350536,8542557908,172820,2646374,9.02
TATAMOTORS,EQ,6-May-21,291.5,291.5,302,290.3,301.05,301.25,297.01,45032502,13375217304,253096,8279822,18.39
TATAMOTORS,EQ,7-May-21,301.25,303,305.95,300.5,301.45,302.75,303.34,41591323,12616475890,232673,5787627,13.92
TATAMOTORS,EQ,10-May-21,302.75,304.5,315.7,304,314.35,314.85,310.52,53260388,16538427981,304985,11043342,20.73
TATAMOTORS,EQ,11-May-21,314.85,309.55,320.75,308.1,314.45,315.55,316.17,58472304,18487036052,341891,8734226,14.94
TATAMOTORS,EQ,12-May-21,315.55,318.25,334.75,316.25,325.55,326,326.37,111584920,36417910309,627410,13243941,11.87
TATAMOTORS,EQ,14-May-21,326,329.35,329.5,310,312.6,312.25,318.19,81305325,25870430405,446741,10717834,13.18
TATAMOTORS,EQ,17-May-21,312.25,315.4,323.85,311.4,321.75,321.1,317.96,51162423,16267582786,322456,4843462,9.47
TATAMOTORS,EQ,18-May-21,321.1,325.95,336.65,324,332,332.45,331.11,86153088,28526171913,507559,11382641,13.21
TATAMOTORS,EQ,19-May-21,332.45,313,322.95,312.1,314.1,314.45,316.24,119407026,37761459386,682512,20058292,16.8
TATAMOTORS,EQ,20-May-21,314.45,316,316.6,306.1,308,307.7,310.47,54043899,16778950024,332716,8163378,15.11
