"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","30-Mar-2021","        991.00","        991.50","       1019.80","        991.50","       1015.50","       1016.90","       1007.12","    4303081","          4333736846.70","      98738","    2278945","         52.96"
"TECHM","EQ","31-Mar-2021","       1016.90","       1023.00","       1023.00","        989.20","        994.60","        991.45","       1000.12","    3780505","          3780946572.65","      78230","    1789646","         47.34"
"TECHM","EQ","01-Apr-2021","        991.45","       1000.00","       1007.80","        986.00","        990.20","        992.15","        994.99","    3555291","          3537485541.65","      81967","    1853314","         52.13"
"TECHM","EQ","05-Apr-2021","        992.15","        992.00","       1007.20","        978.20","        998.60","        997.70","        996.23","    5118272","          5098979277.25","     110183","    2384209","         46.58"
"TECHM","EQ","06-Apr-2021","        997.70","       1006.00","       1008.00","        988.55","        992.00","        991.35","        998.14","    2395572","          2391125209.15","      72684","    1200526","         50.11"
"TECHM","EQ","07-Apr-2021","        991.35","        992.00","       1005.65","        982.10","       1000.20","       1002.40","        996.20","    2974419","          2963106334.15","      73301","    1273844","         42.83"
"TECHM","EQ","08-Apr-2021","       1002.40","       1008.00","       1049.85","       1005.00","       1028.55","       1029.00","       1031.44","    6737118","          6948939994.25","     150807","    1629540","         24.19"
"TECHM","EQ","09-Apr-2021","       1029.00","       1028.95","       1056.80","       1016.55","       1051.00","       1053.00","       1040.36","    6029994","          6273378015.85","     110005","    3436041","         56.98"
"TECHM","EQ","12-Apr-2021","       1053.00","       1051.00","       1059.05","       1016.80","       1039.85","       1039.85","       1035.38","    7896295","          8175635553.55","     138618","    4083369","         51.71"
"TECHM","EQ","13-Apr-2021","       1039.85","       1045.00","       1050.25","        983.00","       1005.00","       1001.85","       1002.91","    6448995","          6467768163.90","     120182","    2401702","         37.24"
"TECHM","EQ","15-Apr-2021","       1001.85","       1001.85","       1007.80","        970.30","        992.00","        993.15","        992.52","    4373215","          4340486471.65","     109988","    2161676","         49.43"
